slide_number,slide_title,image_filename,prompt,format_notes
1,Title,"2514_D4_S01_title.png","Professional nursing education banner. A clean medical illustration of a newborn in a radiant warmer with a stethoscope, a fetal monitor strip, and a subtle memorial candle, representing compromised neonates and fetal demise. Soft blue gradient. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
2,How to Use This Deck,"2514_D4_S02_legend.png","A simple color-coded legend icon: three small squares side by side colored red, blue, and tan, with a subtle table grid behind them. Clean white background. No text. Color-blind friendly.","PNG, 800x400px, <200KB, ADA: distinct luminance, no text"
3,Learning Objectives,"2514_D4_S03_objectives.png","A minimalist medical education icon: a target with a graduation cap silhouette in the center, soft teal gradient background. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
4,Birth Injuries,"2514_D4_S04_birth-injuries.png","Medical illustration of common birth injuries: a newborn with arm positioned for Erb palsy, a cephalohematoma on the scalp, and a fractured clavicle area. Clean anatomical style. Professional, respectful. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
5,Take Note Cephalohematoma vs Caput,"2514_D4_S05_cephalohematoma.png","Medical diagram comparing two newborn scalp conditions: cephalohematoma (subperiosteal, does not cross sutures) and caput succedaneum (edema, crosses sutures). Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
6,Hyperbilirubinemia,"2514_D4_S06_jaundice.png","Medical illustration of a jaundiced newborn with yellow skin discoloration, showing the progression of bilirubin metabolism. Professional, respectful style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
7,Phototherapy,"2514_D4_S07_phototherapy.png","Medical illustration of a newborn under blue LED phototherapy lights, with protective eye shields and exposed skin. Clean professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
8,Take Note Early Jaundice,"2514_D4_S08_early-jaundice.png","A medical warning icon: a clock showing within 24 hours with a yellow newborn silhouette and an exclamation mark. Professional orange and blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
9,Infant of Diabetic Mother,"2514_D4_S09_idm.png","Medical illustration of a macrosomic newborn with a large body, showing the effects of maternal hyperglycemia: increased fat, plump appearance. Professional, respectful style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
10,IDM Priority Actions,"2514_D4_S10_idm-actions.png","A clean medical illustration of newborn blood glucose monitoring: a heel stick with a glucose meter, and a bottle of formula for early feeding. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
11,Neonatal Sepsis,"2514_D4_S11_sepsis.png","A medical illustration of a newborn with nonspecific sepsis signs: temperature instability, poor feeding, and lethargy. Professional, respectful style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
12,Respiratory Conditions,"2514_D4_S12_respiratory.png","Medical illustration comparing three newborn respiratory conditions: TTN with retained fluid in lungs, RDS with ground-glass appearance and atelectasis, and MAS with meconium particles in airways. Clean anatomical style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
13,Take Note Respiratory Memory,"2514_D4_S13_resp-memory.png","A clean medical diagram of three newborn lung icons: one with fluid drops (TTN), one with collapsed alveoli (RDS), and one with green particles (MAS). Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
14,VEAL CHOP,"2514_D4_S14_vealchop.png","Medical diagram of VEAL CHOP: a fetal monitor strip showing four deceleration patterns (Variable, Early, Acceleration, Late) with corresponding causes (Cord compression, Head compression, OK, Placental insufficiency). Professional monitoring style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
15,FHR Categories,"2514_D4_S15_fhr.png","A clean medical diagram of the three-tier FHR category system: Category I shown in green (normal), Category II in yellow (indeterminate), Category III in red (abnormal). Professional monitoring style. High contrast. Color-blind friendly.","PNG, 800x500px, <200KB, ADA: color-blind, large labels"
16,Take Note No Routine O2,"2514_D4_S16_no-o2.png","A medical warning icon: an oxygen mask with a red X over it, and a green checkmark over repositioning and IV fluids. Professional style. High contrast. White background.","PNG, 800x400px, <200KB, ADA: high-contrast, large labels"
17,NRP ABC,"2514_D4_S17_nrp.png","Medical illustration of newborn resuscitation: a newborn on a radiant warmer with a bag-mask providing positive pressure ventilation, and hands performing chest compressions. Clean professional style. High contrast. No text.","PNG, 800x600px, <200KB, ADA: high-contrast, no text"
18,Fetal Demise,"2514_D4_S18_demise.png","A sensitive, respectful illustration of perinatal loss: a subtle memorial candle with a small handprint and footprint, on a soft, warm background. No text. High contrast. Gentle, compassionate tones.","PNG, 800x400px, <200KB, ADA: high-contrast, no text, respectful"
19,Take Note Grief Support,"2514_D4_S19_grief.png","A sensitive, professional illustration of a nurse providing compassionate support to a grieving family, with a subtle memory box. Warm, respectful tones. Diverse representation. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, diverse representation"
20,Key Terms Neonatal,"2514_D4_S20_terms-neonatal.png","A clean medical illustration of a glossary icon: a book with a bookmark and alphabet letter. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
21,NGN Case IDM Hypoglycemia,"2514_D4_S21_case-idm.png","A professional illustration of a newborn receiving a heel stick glucose check, with a nurse preparing formula for feeding. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
22,NGN Case Fetal Demise,"2514_D4_S22_case-demise.png","A sensitive, professional illustration of a quiet hospital room with a nurse providing compassionate support, and a subtle ultrasound machine showing no cardiac activity. Respectful, warm tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text, respectful"
23,Self-Check Q1,"2514_D4_S23_q1.png","A subtle medical background with a faint question mark overlaid on a soft gradient. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
24,Self-Check Q2,"2514_D4_S24_q2.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
25,Self-Check Q3,"2514_D4_S25_q3.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
26,Self-Check Q4,"2514_D4_S26_q4.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
27,Self-Check Q5,"2514_D4_S27_q5.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
28,Self-Check Q6,"2514_D4_S28_q6.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
29,Self-Check Q7,"2514_D4_S29_q7.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
30,Self-Check Q8,"2514_D4_S30_q8.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
31,Exit Ticket,"2514_D4_S31_exit.png","A clean exit icon: a door with a checkmark, medical-themed. Soft green and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
